,,,,,,,,,,,,
신분류체계정보 관광타입정보 연계 정의서,,,,,,,,,,,,
,,,,,,,,,,,,
대분류(lclsSystem1),,중분류(lclsSystem2),,소분류 코드(clsSystem3),,관광타입(contenttypeid),,,,,,
대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명,국문코드,다국어코드,관광타입명,,관광타입명,국문코드,다국어코드
,,,,NA030400,생태습지,12,76,관광지,,,,
,,,,NA030500,기타자연생태,12,76,관광지,,,,
,,NA04,자연공원,NA040100,국립공원,12,76,관광지,,,,
,,,,NA040200,도립공원,12,76,관광지,,,,
,,,,NA040300,군립공원,12,76,관광지,,,,
,,,,NA040400,지질공원,12,76,관광지,,,,
,,,,NA040500,생태관광지,12,76,관광지,,,,
,,,,NA040600,자연휴양림,12,76,관광지,,,,
,,,,NA040700,수목원ㆍ정원,12,76,관광지,,,,
,,NA05,기타자연관광,NA050100,기타자연관광,12,76,관광지,,,,
SH,쇼핑,SH01,백화점,SH010100,백화점,38,79,쇼핑,,,,
,,SH02,쇼핑몰,SH020100,복합쇼핑몰,38,79,쇼핑,,,,
,,,,SH020200,아웃렛,38,79,쇼핑,,,,
,,SH03,대형마트,SH030100,대형마트,38,79,쇼핑,,,,
,,SH04,면세점,SH040100,공항면세점,38,79,쇼핑,,,,
,,,,SH040200,시내면세점,38,79,쇼핑,,,,
,,,,SH040300,사후면세점,38,79,쇼핑,,,,
,,SH05,전문매장/상가,SH050100,공방/공예품점,38,79,쇼핑,,,,
,,,,SH050200,전문상가,38,79,쇼핑,,,,
,,,,SH050300,관광기념품/특산물판매점,38,79,쇼핑,,,,
,,SH06,시장,SH060100,비상설시장,38,79,쇼핑,,,,
,,,,SH060200,상설시장,38,79,쇼핑,,,,
,,SH07,기타쇼핑시설,SH070100,기타쇼핑시설,38,79,쇼핑,,,,
VE,문화관광,VE01,랜드마크관광,VE010100,건물,12,76,관광지,,,,
,,,,VE010200,타워 / 전망대,12,76,관광지,,,,
,,,,VE010300,다리 / 대교,12,76,관광지,,,,
,,,,VE010400,분수,12,76,관광지,,,,
